ent,ent,t,Inciden,Incidenh,Incidenm,ginesp_i,giniesp_p,dessalud_i,dessalud_p,casadh,casadm,escolh,escolm,ocup,ocuph,ocupm,persconSS,perssinSS,ValAgr,Predialpc,gtosal,gstosalpc,hosp,enferm,medic,Salpib,Densidadpoblac,Abarrotes,Verdulerias,Dulcerias,Gimnasios,GiniT_i,GiniT_p
02,Baja California,2017,2.920342506,2.804180337,3.012318291,0.00748392,0.188808553,0.010613996,-0.000382458,5.500719366,5.268643486,0.996555139,0.999520204,6.206440775,5.989769191,5.800617427,6.346520987,6.13473349,5.908610814,2.605305046,7.204511991,3.609398418,2.346352974,3.868703202,3.611723308,0.382017043,1.709833675,4.112135603,2.790285164,3.183269844,2.892094603,0.007184013,0.381399938
02,Baja California,2018,2.973261817,2.821867108,3.085251322,0.00432061,0.202091738,0.016499157,0.000522889,5.485282653,5.248522534,1.009096517,1.019262264,6.231849687,6.022695547,5.814143672,6.353111108,6.139550409,5.915963068,2.650469426,7.214228233,3.610041957,2.346352974,3.856305866,3.593618308,0.378397901,1.715750043,4.112001395,2.785329835,3.184123354,2.892094603,0.007284458,0.335473958
02,Baja California,2019,2.928334391,2.799822831,3.027263964,0.05251378,0.20359754,0.015412299,6.43599E-05,5.496243086,5.281549212,1.017300891,1.03116988,6.237286805,6.016149654,5.838277208,6.346823596,6.132309009,5.922876725,2.666985718,7.216792065,3.615341681,2.348304863,3.868409303,3.611723308,0.365487985,1.709100794,4.05223209,2.782472624,3.035029282,2.914871818,0.003843701,0.325969323
02,Baja California,2020,2.65065715,2.544700413,2.735614866,0.06280489,0.190465868,0.013242158,0,5.508879707,5.291166754,1.013128989,1.033318105,6.235294067,6.015561764,5.834159922,6.354262145,6.138008226,5.897474604,2.604226053,7.257221901,3.649920224,2.328379603,3.884851983,3.621902961,0.423245874,1.715881013,4.033423755,2.793790385,3.068927612,2.876217841,0.014350951,0.359223995
02,Baja California,2021,2.724300452,2.606789668,2.816466677,0.04697881,0.20703422,0.009973807,0,5.398098353,5.159430327,1.03074047,1.041502706,6.227303999,6.009677333,5.822952893,6.361480973,6.143472911,5.924700672,2.71419,7.261003911,3.643505046,2.322219295,3.879554601,3.627468272,0.404833717,1.722437566,4.031691169,2.790988475,3.061829307,2.871572936,0.011845676,0.334996669
02,Baja California,2022,2.941123674,2.8051541,3.044202542,0.01886491,0.187208902,0.010654076,0.010867408,5.438508332,5.246860342,1.034791116,1.05124466,6.248032886,6.02628888,5.849935715,6.368483807,6.148712448,5.934516856,2.774638602,7.266647834,3.616263304,2.322219295,3.886490725,3.640382045,0.390935107,1.751791623,4.031973689,2.790988475,3.061829307,2.870988814,0.008158688,0.37174108
02,Baja California,2023,2.92326993,2.784053556,3.028131856,0.05182618,0.205880493,0.012050715,0.012062292,5.404551505,5.189986928,1.032332266,1.049957632,6.253457468,6.029715663,5.858341661,6.375273946,6.153735617,5.94851146,2.839478047,7.276326177,3.617918312,2.245512668,3.902655475,3.648555156,0.408239965,1.758591973,4.031892988,2.798650645,3.06595298,2.875061263,0.007334491,0.322235257
03,Baja California Sur,2014,2.933821232,2.773537788,3.054260574,0.0119388,0.133805166,0.011647793,0.000926959,4.973954075,4.764803575,0.999696591,1.034549972,5.504309076,5.283373605,5.104995539,5.651114153,5.467172853,5.1475305,2.876794976,6.627684128,3.744207689,1.491361694,3.322632712,3.147367108,0.553883027,1.003700298,3.429429264,2.113943352,2.31386722,2.245512668,0.008414103,0.126443004
03,Baja California Sur,2015,2.877296461,2.709015417,3.001720736,0.00750868,0.139353652,0.005823254,0.000214726,5.012710713,4.750222885,0.997270473,1.022918274,5.51219327,5.303159324,5.094292902,5.664884436,5.479533563,5.170927955,2.821775467,6.671663091,3.772121495,1.505149978,3.343999069,3.178113252,0.5289167,1.016913402,3.429429264,2.113943352,2.31386722,2.245512668,0.010768454,0.126778158
03,Baja California Sur,2016,2.966648505,2.821493877,3.078130431,0.00918124,0.146812055,0.006753571,0.000318724,5.008600172,4.750083921,1.007064785,1.035486493,5.518511308,5.308948386,5.101465241,5.6782989,5.491508769,5.189838407,2.938219418,6.650129872,3.739869043,1.505149978,3.383456297,3.184123354,0.484299839,1.029760082,3.452706227,2.136720567,2.320146286,2.33243846,0.005902343,0.139520349
03,Baja California Sur,2017,2.94133251,2.815723817,3.041033256,0.00515289,0.114757008,0.003675582,-3.79564E-05,5.008719373,4.753115577,1.027581944,1.049327591,5.538958095,5.331003932,5.119305388,5.691362675,5.50312989,5.209762594,2.867467488,6.663280148,3.738429649,1.531478917,3.372175286,3.182699903,0.444044796,1.042255875,3.453012391,2.139879086,2.324282455,2.328379603,0.009266898,0.131893266
03,Baja California Sur,2018,2.851166587,2.712994644,2.959089114,0.00628708,0.122943089,0.001813003,-9.2728E-05,5.00775631,4.766955376,1.016361835,1.048500573,5.547853437,5.323882968,5.153076699,5.704093008,5.514406949,5.244025479,2.962558736,6.662899711,3.724510274,1.556302501,3.37401474,3.188647296,0.369215857,1.054415202,3.451939869,2.161368002,2.324282455,2.328379603,0.009615615,0.129303272
03,Baja California Sur,2019,2.864208393,2.749512156,2.957664742,0.00547746,0.148199269,0.002288214,-9.0924E-05,5.02352818,4.797703694,1.030845456,1.05824198,5.58053268,5.354306325,5.189077439,5.681262952,5.48868465,5.227505021,3.036948112,6.68052395,3.764139231,1.602059991,3.379305518,3.205475037,0.426511261,1.030452203,3.397766256,2.146128036,2.250420002,2.411619706,0.004694622,0.132402036
03,Baja California Sur,2020,2.55299655,2.480624869,2.616958378,0.00576259,0.119317116,0.001299965,-0.000147334,5.051781311,4.858928007,1.028587437,1.053158185,5.599999814,5.374658546,5.207246479,5.69089482,5.496817602,5.162410578,2.950364854,6.738241026,3.812998932,1.653212514,3.404833717,3.231214648,0.603144373,1.039498724,3.364926034,2.217483944,2.274157849,2.389166084,0.017506064,0.117316566
03,Baja California Sur,2021,2.691903309,2.578341175,2.784496044,0.00200663,0.133360777,0.001881317,-2.29348E-05,4.788993971,4.605737688,1.043418831,1.093456217,5.583598866,5.353839324,5.197261256,5.70021118,5.504644817,5.209552646,3.04719696,6.696540043,3.758332083,1.653212514,3.392872745,3.222196046,0.537819095,1.048234771,3.35679046,2.235528447,2.255272505,2.350248018,0.015861543,0.129655739
03,Baja California Sur,2022,3.089010887,2.97456235,3.182117793,0.00276774,0.131736612,0.006078647,0.006078647,5.007273977,4.807629724,1.045478906,1.084208527,5.624040639,5.394870013,5.236857071,5.709232637,5.512166562,5.225890129,3.05207803,6.741262372,3.788101171,1.662757832,3.388278863,3.204119983,0.531478917,1.062882665,3.356981401,2.23299611,2.257678575,2.350248018,0.009738582,0.136597073
03,Baja California Sur,2023,2.932717226,2.835760307,3.014184398,0.00638538,0.114000111,0.002853197,0.002853197,4.987087267,4.810994889,1.039877278,1.070652208,5.638389408,5.410068291,5.249980606,5.717977396,5.519377721,5.232851161,3.074743321,6.760244803,3.798653407,1.643452676,3.413802517,3.244771761,0.562292864,1.072263035,3.35755372,2.247973266,2.26245109,2.356025857,0.009834902,0.113408806
04,Campeche,2014,2.493736802,2.422359994,2.553834499,0.01817904,0.188778094,0.00121103,-0.000375931,5.078920591,4.647490552,1.003537173,1.050656719,5.564488523,5.376155231,5.110862321,5.628152814,5.671512552,5.832259194,2.097199435,6.705178218,3.744787204,1.397940009,3.403292145,3.204391332,-0.13076828,1.245437292,3.73255458,2.945468585,2.149219113,2.120573931,0.010180019,0.282171683
04,Campeche,2015,2.756133831,2.62783677,2.853150436,0.01056616,0.186333176,0.002629266,-4.95458E-05,5.07537905,4.607658719,0.998705678,1.044487822,5.56125169,5.374682372,5.10435735,5.635506868,5.677474637,5.837382301,2.097777735,6.715902353,3.750565241,1.414973348,3.423900919,3.184975191,0.096910013,1.252061203,3.73255458,2.945468585,2.149219113,2.120573931,0.011567733,0.281136051
04,Campeche,2016,2.873274089,2.742638735,2.971586611,0.01152902,0.194476676,0.003458375,5.17813E-05,5.058725827,4.611457766,1.006171906,1.048771517,5.567844752,5.382217024,5.109190309,5.642676175,5.683319963,5.814025956,2.118374956,6.693468381,3.721145768,1.414973348,3.427323786,3.208978517,0.11058971,1.258537062,3.734159513,2.950364854,2.161368002,2.161368002,0.006587767,0.297049655
04,Campeche,2017,2.918915856,2.831761027,2.989939013,0.00808504,0.181079715,0.00066664,-0.000107366,5.061746433,4.63444704,1.001551608,1.052517265,5.562984804,5.37113254,5.115766896,5.649650241,5.689062778,5.767527828,2.142493741,6.67898723,3.697762465,1.462397998,3.438225808,3.199206479,0.049218023,1.264867152,3.734399743,2.949877704,2.164352856,2.167317335,0.01199862,0.259093296
04,Campeche,2018,2.814114356,2.697708721,2.903903527,0.01033896,0.164563648,0.001558906,-0.000281051,5.081829589,4.647118792,1.001778135,1.061695721,5.567280513,5.36414559,5.139665033,5.65646619,5.694670996,5.744612074,2.163111649,6.67353313,3.685213369,1.462397998,3.447313109,3.285782274,0.012837225,1.271052273,3.734399743,2.949877704,2.158362492,2.164352856,0.011495299,0.216509699
04,Campeche,2019,2.754088293,2.655484195,2.832713239,0.01511769,0.174267539,0.000843957,-0.000413381,5.100584193,4.640123518,1.015616441,1.070690998,5.58726185,5.393308403,5.143801441,5.672134818,5.710968189,5.726375506,2.197510274,6.691352531,3.685776853,1.477121255,3.447932866,3.27392678,-0.013228266,1.287049111,3.679609572,3.043755127,2.037426498,2.305351369,0.006263483,0.21161011
